division,desc_en,desc_bm
01,Food & Beverages,Makanan & Minuman
02,Alcoholic Beverages & Tobacco,Minuman Alkohol & Tembakau
03,Clothing & Footwear,Pakaian & Kasut
04,"Housing, Water, Electricity, Gas & Other Fuels","Perumahan, Air, Elektrik, Gas & Bahan Api Lain"
05,"Furnishings, Household Equipment & Routine Household Maintenance","Hiasan, Perkakasan & Penyelenggaraan Isi Rumah"
06,Health,Kesihatan
07,Transport,Pengangkutan
08,Information & Communication,Maklumat & Komunikasi
09,"Recreation, Sport & Culture","Rekreasi, Sukan & Kebudayaan"
10,Education,Pendidikan
11,Restaurant & Accommodation Services,Restoran & Perkhidmatan Penginapan
12,Insurance & Financial Services,Insurans & Perkhidmatan Kewangan
13,"Personal Care, Social Protection & Miscellaneous Goods & Services","Penjagaan Diri, Perlindungan Sosial & Pelbagai Barangan & Perkhidmatan"
